
# Importdatei fÅr das Infosystem dfue/TESTDAT
# Import file for infosystem dfue/TESTDAT


#!database=0:4
#!action=new
#!flddelimiter=#
#!dontchange=~
#!RECORDIDFLD=klnum
#!FIRSTTABFLD=vorgang

klnum#vorgang#tvorgang#erlaubt#protokoll#edlnum#

2058601#VKAUVE-A#Lieferabruf -automatisch#ja#VDA#~#
2058601#VKAUVEF-A#Feinabruf -automatisch#ja#VDA#~#
2058601#VKLS#Lieferschein#ja#VDA#~#
2058602#VKAUVE-A#Lieferabruf -automatisch#ja#VDA#~#
2058602#VKAUVEF-A#Feinabruf -automatisch#ja#VDA#~#
2058602#VKLS#Lieferschein#ja#VDA#~#
2058603#VKAUVE-A#Lieferabruf -automatisch#ja#VDA#~#
2058603#VKAUVEF-A#Feinabruf -automatisch#ja#VDA#~#
2058603#VKLS#Lieferschein#ja#VDA#~#
2058701#VKAUVE-A#Lieferabruf -automatisch#ja#VDA#~#
2058701#VKAUVEF-A#Feinabruf -automatisch#ja#VDA#~#
2058701#VKLS#Lieferschein#ja#VDA#2058701#
2058701#VKEDL-A#EDL-Meldungen -automatisch#ja#VDA#~#
